Nest.ID,Male,Female,Pair,Year,Date.Found,Last.Date.Alive,First.Date.Dead,Notes,First.date.simp,Include_YN,Day.Found,Last.Day.Alive,First.Day.Dead,Fate,Full.Term,Hatched,Hatched.Own,Fledged,Long,Lat,Supplement,Nest.Attempt,Age.Male,Age.Female,Age.Min,Age.Max,Age.Avg,Exper.Male,Exper.Female,Exper.Min,Exper.Max,Exper.Avg,CumAtt.Male,CumAtt.Female,CumAtt.Min,CumAtt.Max,CumAtt.Avg,MGenAny,MGenAll,FGenAny,FGenAll,CGenAny ,CGenAll,Male.Type,Female.Type,Pair.Type,Male.Dam,Male.Sire,Female.Dam,Female.Sire
2012R,1745,1927,2-04/46-07,2012,4/19/2012,5/17/2012,5/17/2012,,19-Apr,Y,25,53,53,0,Y,Y,Y,N,-90.153935,44.060778,0,1,8,5,5,8,6.5,1,1,1,1,1,3,3,3,3,3,2,2,3,3,2,3,U,D,2,1154,1127,1263,1128
2012U,1977,1895,10-09/17-07,2012,4/23/2012,5/10/2012,5/11/2012,,23-Apr,Y,29,46,47,1,N,N,N,N,-90.16908,44.14674,0,1,3,5,3,5,4,0,0,0,1,0,1,1,1,1,1,3,5,3,4,3,5,U,U,1,1202,1216,1679,1674
2012V,1706,1707,11-03/12-03,2012,4/25/2012,5/6/2012,5/7/2012,,25-Apr,Y,31,42,43,1,N,N,N,N,-90.15734,44.16031,0,1,9,9,9,9,9,1,1,1,1,1,5,5,5,5,5,2,2,3,3,2,3,U,U,1,1154,1127,1135,1133
2012X,1978,1982,11-09/15-09,2012,4/27/2012,5/4/2012,5/6/2012,,27-Apr,Y,33,40,42,1,N,N,N,N,-90.14685,44.0635,0,1,3,3,3,3,3,0,0,0,1,0,1,1,1,1,1,2,2,2,3,2,3,U,U,1,1241,1248,1366,1581
2012Y,1954,2018,28-08/5-10,2012,5/1/2012,5/31/2012,6/1/2012,This is a nest that incubated past term; gave 30 intervals,1-May,Y,37,67,68,1,Y,N,N,N,-89.8171,44.69084,0,1,4,2,2,4,3,0,0,0,0,0,1,1,1,1,1,3,5,2,3,2,5,U,U,1,1202,1216,1164,1717
2012Z,1985,1992,18-09/25-09,2012,5/2/2012,5/2/2012,5/3/2012,,2-May,Y,38,38,39,1,N,N,N,N,-90.1742,44.07532,0,1,3,3,3,3,3,0,0,0,0,0,1,1,1,1,1,2,2,2,3,2,3,U,U,1,1119,1147,1261,1267
2013E,1673,1762,12-02/19-04,2013,4/15/2013,5/5/2013,5/6/2013,,15-Apr,Y,1,21,22,1,N,N,N,N,-90.02192,44.41753,0,1,11,9,9,11,10,1,1,1,1,1,8,8,8,8,8,2,3,3,4,2,4,U,U,1,1119,1114,1263,1100
2013A,1791,1708,9-05/13-03,2013,4/16/2013,5/6/2013,5/7/2013,,16-Apr,Y,2,22,23,1,N,N,N,N,-90.19341,44.10494,0,1,8,10,8,10,9,1,1,1,1,1,4,8,4,8,6,2,2,3,3,2,3,U,U,1,1167,1162,1135,1133
2013Q,1909,1972,33-07/5-09,2013,4/16/2013,5/5/2013,5/6/2013,,16-Apr,Y,2,21,22,1,N,N,N,N,-89.70513345,44.208907,0,1,6,4,4,6,5,1,1,1,1,1,4,4,4,4,4,2,2,3,3,2,3,U,U,1,1154,1127,1135,1133
2013U,1746,1704,3-04/9-03,2013,4/16/2013,5/6/2013,5/7/2013,,16-Apr,Y,2,22,23,1,N,N,N,N,-90.16523959,44.06349759,0,1,9,10,9,10,9.5,1,1,1,1,1,9,9,9,9,9,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2013G,1943,1950,14-08/24-08,2013,4/18/2013,5/8/2013,5/9/2013,,18-Apr,Y,4,24,25,1,N,N,N,N,-90.15918,44.03378,0,1,5,5,5,5,5,1,1,1,1,1,2,2,2,2,2,3,5,2,2,2,5,U,U,1,1156,1254,1154,1127
2013J,2010,1999,41-09/32-09,2013,4/18/2013,5/5/2013,5/6/2013,,18-Apr,Y,4,21,22,1,N,N,N,N,-90.17163934,44.2061826,0,1,4,4,4,4,4,0,0,0,0,0,1,1,1,1,1,3,3,2,4,2,4,D,D,2,1140,1128,1119,1100
2013T,1745,1975,2-04/8-09,2013,4/19/2013,5/4/2013,5/5/2013,,19-Apr,Y,5,20,21,1,N,N,N,N,-90.15234,44.05585,0,1,9,4,4,9,6.5,1,0,0,1,0.5,4,1,1,4,2.5,2,2,3,4,2,4,U,U,1,1154,1127,1704,1746
2013W,1705,1874,10-03/W1-06,2013,4/19/2013,5/4/2013,5/5/2013,,19-Apr,Y,5,20,21,1,N,N,N,N,-90.16754629,44.07691624,0,1,10,7,7,10,8.5,1,1,1,1,1,5,5,5,5,5,3,4,3,4,3,4,U,W,2,1188,1175,1678,1672
2013C,1677,1894,16-02/16-07,2013,4/23/2013,5/5/2013,5/6/2013,,23-Apr,Y,9,21,22,1,N,N,N,N,-90.14939,44.1721,0,1,11,6,6,11,8.5,1,1,1,1,1,4,4,4,4,4,2,3,2,2,2,3,U,U,1,1142,1147,1168,1420
2013H,1672,1904,11-02/26-07,2013,4/23/2013,5/8/2013,5/9/2013,,23-Apr,Y,9,24,25,1,N,N,N,N,-90.13614,44.05552,0,1,11,6,6,11,8.5,1,1,1,1,1,9,2,2,9,5.5,2,3,2,2,2,3,U,U,1,1142,1147,1119,1147
2013N,1759,1971,16-04/4-09,2013,4/23/2013,5/15/2013,5/16/2013,,23-Apr,Y,9,31,32,1,N,N,N,N,-90.36997,44.07887,0,1,9,4,4,9,6.5,1,1,1,1,1,4,2,2,4,3,2,3,2,2,2,3,U,U,1,1136,1144,1164,1213
2013R,1954,2018,28-08/5-10,2013,4/23/2013,5/21/2013,5/21/2013,,23-Apr,Y,9,37,37,0,Y,Y,Y,N,-89.81699,44.6903,0,1,5,3,3,5,4,1,1,1,1,1,2,2,2,2,2,3,5,2,3,2,5,U,U,1,1202,1216,1164,1717
2013K,1973,2003,6-09/35-09,2013,4/23/2013,5/4/2013,5/5/2013,,23-Apr,Y,9,20,21,1,N,N,N,N,-90.24716,44.03157,0,1,4,4,4,4,4,0,0,0,0,0,1,1,1,1,1,3,4,3,3,3,4,U,D,2,1704,1746,1263,1128
2013L,1713,2005,18-03/36-09,2013,4/23/2013,5/4/2013,5/5/2013,,23-Apr,Y,9,20,21,1,N,N,N,N,-90.19314,44.08898,0,1,10,4,4,10,7,1,1,1,1,1,8,3,3,8,5.5,2,3,3,3,2,3,U,D,2,1142,1147,1140,1128
2013O,1991,2011,24-09/42-09,2013,4/24/2013,5/6/2013,5/7/2013,,24-Apr,Y,10,22,23,1,N,N,N,N,-89.76758,44.18502,0,1,4,4,4,4,4,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,3,U,D,2,1261,1386,1163,1128
2013B,1978,1982,11-09/15-09,2013,4/25/2013,5/2/2013,5/4/2013,,25-Apr,Y,11,18,20,1,N,N,N,N,-90.15741,44.07068,0,1,4,4,4,4,4,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,3,U,U,1,1241,1248,1366,1581
2013I,1864,1993,27-06/26-09,2013,4/27/2013,5/2/2013,5/4/2013,,27-Apr,Y,13,18,20,1,N,N,N,N,-90.16985,44.06799,0,1,7,4,4,7,5.5,0,0,0,1,0,1,1,1,1,1,2,5,2,3,2,5,D,U,2,1219,1182,1101,1182
2013D,1674,1679,13-02/18-02,2013,4/28/2013,5/3/2013,5/4/2013,,28-Apr,Y,14,19,20,1,N,N,N,N,-90.16453,44.06751,0,1,11,11,11,11,11,1,1,1,1,1,9,9,9,9,9,2,2,3,3,2,3,U,U,1,1154,1127,1101,1128
2013S,1712,1974,17-03/7-09,2013,4/28/2013,5/5/2013,5/6/2013,,28-Apr,Y,14,21,22,1,N,N,N,N,-90.18313,44.1665,0,1,9,4,4,9,6.5,1,0,0,1,0.5,11,1,1,11,6,2,3,2,2,2,3,U,U,1,1136,1144,1292,1165
2013F,1794,1900,12-05/22-07,2013,4/29/2013,5/4/2013,5/5/2013,,29-Apr,Y,15,20,21,1,N,N,N,N,-90.16225,44.16126,0,1,8,6,6,8,7,1,1,1,1,1,5,5,5,5,5,3,3,3,5,3,5,U,U,1,1135,1560,1202,1216
2013M,1885,1917,7-07/39-07,2013,5/30/2013,6/29/2013,6/30/2013,This is a nest that incubated past term; gave 30 intervals,30-May,Y,46,76,77,1,Y,N,N,N,-90.23314,44.22668,0,1,6,6,6,6,6,1,1,1,1,1,3,3,3,3,3,2,2,3,5,2,5,U,D,2,1164,1165,1202,1216
2006F,1672,1678,11-02/17-02,2006,5/23/2006,6/22/2006,6/22/2006,,23-May,N,NA,NA,NA,0,Y,Y,Y,Y,-90.15447,44.06246,0,2,4,4,4,4,4,1,1,1,1,1,3,3,3,3,3,2,3,2,3,2,3,U,U,1,1142,1147,1136,1144
2007E,1712,1698,17-03/3-03,2007,5/14/2007,6/9/2007,6/10/2007,Throw Out; this nest failed due to disturbance,14-May,N,NA,NA,NA,1,N,N,N,N,-90.19537,44.1716,0,2,4,4,4,4,4,1,1,1,1,1,3,2,2,3,2.5,2,3,2,3,2,3,U,U,1,1136,1144,1136,1144
2009K,1713,1708,18-03/13-03,2009,5/13/2009,5/17/2009,5/18/2009,,13-May,Y,42,46,47,1,N,N,N,N,-90.19434,44.08646,1,2,6,6,6,6,6,1,1,1,1,1,3,3,3,3,3,2,3,3,3,2,3,U,U,1,1142,1147,1135,1133
2009J,1712,1698,17-03/3-03,2009,5/14/2009,6/7/2009,6/8/2009,,14-May,Y,43,67,68,1,N,N,N,N,-90.19933,44.17152,0,2,6,6,6,6,6,1,1,1,1,1,6,5,5,6,5.5,2,3,2,3,2,3,U,U,1,1136,1144,1136,1144
2009L,1672,1678,11-02/17-02,2009,5/19/2009,6/14/2009,6/14/2009,,19-May,Y,48,74,74,0,Y,Y,Y,N,-90.1355,44.05676,0,2,7,7,7,7,7,1,1,1,1,1,6,6,6,6,6,2,3,2,3,2,3,U,U,1,1142,1147,1136,1144
2009Q,1673,1762,12-02/19-04,2009,5/21/2009,6/12/2009,6/12/2009,Throw Out; this egg was placed in nest,21-May,N,50,72,72,0,Y,Y,N,N,-90.02267,44.41745,0,2,7,5,5,7,6,1,1,1,1,1,3,3,3,3,3,2,3,3,4,2,4,U,U,1,1119,1114,1263,1100
2009M,1746,1704,3-04/9-03,2009,5/23/2009,6/13/2009,6/14/2009,,23-May,Y,52,73,74,1,N,N,N,N,-90.16418,44.06165,1,2,5,6,5,6,5.5,1,1,1,1,1,3,3,3,3,3,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2010M,1746,1704,3-04/9-03,2010,4/30/2010,5/30/2010,5/30/2010,,30-Apr,Y,30,60,60,0,Y,Y,Y,Y,-90.1663,44.06322,0,2,6,7,6,7,6.5,1,1,1,1,1,5,5,5,5,5,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2010D,1712,1698,17-03/3-03,2010,5/3/2010,5/3/2010,5/4/2010,,3-May,Y,33,33,34,1,N,N,N,N,-90.19897,44.17153,0,2,7,7,7,7,7,1,1,1,1,1,8,7,7,8,7.5,2,3,2,3,2,3,U,U,1,1136,1144,1136,1144
2010O,1674,1679,13-02/18-02,2010,5/8/2010,6/7/2010,6/8/2010,This is a nest that incubated past term; gave 30 intervals,8-May,Y,38,68,69,1,Y,N,N,N,-90.1643,44.06692,0,2,8,8,8,8,8,1,1,1,1,1,6,6,6,6,6,2,2,3,3,2,3,U,U,1,1154,1127,1101,1128
2010H,1673,1762,12-02/19-04,2010,5/11/2010,6/7/2010,6/7/2010,Throw Out; this egg was placed in nest,11-May,N,41,68,68,0,Y,Y,N,Y,-90.02798,44.42139,0,2,8,6,6,8,7,1,1,1,1,1,5,5,5,5,5,2,3,3,4,2,4,U,U,1,1119,1114,1263,1100
2011U,1746,1704,3-04/9-03,2011,5/18/2011,5/28/2011,5/29/2011,,18-May,Y,40,50,51,1,N,N,N,N,-90.16537,44.06332,0,2,7,8,7,8,7.5,1,1,1,1,1,7,7,7,7,7,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2011V,1794,1900,12-05/22-07,2011,5/19/2011,5/22/2011,5/23/2011,,19-May,Y,41,44,45,1,N,N,N,N,-90.16383,44.15873,0,2,6,4,4,6,5,1,1,1,1,1,2,2,2,2,2,3,3,3,5,3,5,U,U,1,1135,1560,1202,1216
2012P,1791,1708,9-05/13-03,2012,4/18/2012,5/19/2012,5/19/2012,,18-Apr,Y,24,55,55,0,Y,Y,Y,Y,-90.18843,44.0984,0,2,7,9,7,9,8,1,1,1,1,1,3,7,3,7,5,2,2,3,3,2,3,U,U,1,1167,1162,1135,1133
2012S,1713,2005,18-03/36-09,2012,4/22/2012,4/24/2012,4/25/2012,,22-Apr,Y,28,30,31,1,N,N,N,N,-90.19237,44.08596,0,2,9,3,3,9,6,1,1,1,1,1,7,2,2,7,4.5,2,3,3,3,2,3,U,D,2,1142,1147,1140,1128
2012T,1881,1963,3-07/38-08,2012,4/23/2012,5/23/2012,5/24/2012,This is a nest that incubated past term; gave 30 intervals,23-Apr,Y,29,59,60,1,Y,N,N,N,-90.17206,44.20788,0,2,5,4,4,5,4.5,1,1,1,1,1,3,3,3,3,3,3,5,2,2,2,5,U,D,2,1202,1216,1366,1422
2012W,1909,1972,33-07/5-09,2012,4/25/2012,5/25/2012,5/26/2012,This is a nest that incubated past term; gave 30 intervals,25-Apr,Y,31,61,62,1,Y,N,N,N,-89.70598,44.21018,0,2,5,3,3,5,4,1,1,1,1,1,3,3,3,3,3,2,2,3,3,2,3,U,U,1,1154,1127,1135,1133
2012ZA,1677,1894,16-02/16-07,2012,5/7/2012,6/5/2012,6/5/2012,,7-May,Y,43,72,72,0,Y,Y,Y,N,-90.14738,44.17307,0,2,10,5,5,10,7.5,1,1,1,1,1,3,3,3,3,3,2,3,2,2,2,3,U,U,1,1142,1147,1168,1420
2012ZB,1751,1802,8-04/19-05,2012,5/14/2012,6/7/2012,6/10/2012,Throw Out; Don't know nest fate - could have hatched unobserved and then died,14-May,N,50,74,77,1,N,N,N,N,-90.20054,44.15993,0,2,8,7,7,8,7.5,1,1,1,1,1,6,6,6,6,6,3,3,3,3,3,3,U,U,1,1135,1133,1135,1560
2012ZC,1794,1900,12-05/22-07,2012,5/21/2012,6/12/2012,6/13/2012,,21-May,Y,57,79,80,1,N,N,N,N,-90.15944,44.15683,0,2,7,5,5,7,6,1,1,1,1,1,4,4,4,4,4,3,3,3,5,3,5,U,U,1,1135,1560,1202,1216
2013P,1991,2011,24-09/42-09,2013,5/25/2013,6/4/2013,6/5/2013,,25-May,Y,41,51,52,1,N,N,N,N,-89.701614,44.208208,0,2,4,4,4,4,4,1,1,1,1,1,3,3,3,3,3,2,2,2,3,2,3,U,D,2,1261,1386,1163,1128
2013V,1746,1704,3-04/9-03,2013,5/31/2013,6/30/2013,6/30/2013,,31-May,Y,47,77,77,0,Y,Y,Y,Y,-90.16779,44.06227,0,2,9,10,9,10,9.5,1,1,1,1,1,10,10,10,10,10,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2010E,1712,1698,17-03/3-03,2010,5/12/2010,6/10/2010,6/10/2010,,12-May,Y,42,71,71,0,Y,Y,Y,N,-90.19441,44.17206,0,3,7,7,7,7,7,1,1,1,1,1,9,8,8,9,8.5,2,3,2,3,2,3,U,U,1,1136,1144,1136,1144
